Rank,Title,Link,Author,Aborn,Adeath,Translator,Tborn,Tdeath,Subject,Language
795,All About Coffee,https://www.gutenberg.org//ebooks/28500,"Ukers, William H. (William Harrison)",1873,1945,,,,"['Coffee', 'Coffee Industry', 'Drinking customs']",English
705,My autobiography,https://www.gutenberg.org//ebooks/74673,"Mussolini, Benito",1883,1945,,,,"['Italy -- Politics and government -- 1914-1945', 'Mussolini, Benito, 1883-1945', 'Heads of state -- Italy -- Biography', 'Fascism -- Italy -- History']",English
981,Bahnwärter Thiel (German),https://www.gutenberg.org//ebooks/29376,"Hauptmann, Gerhart",1862,1946,,,,['German fiction -- 19th century'],German
100,The War of the Worlds,https://www.gutenberg.org//ebooks/36,"Wells, H. G. (Herbert George)",1866,1946,,,,"['Science fiction', 'War stories', 'Martians -- Fiction', 'Mars (Planet) -- Fiction', 'Space warfare -- Fiction', 'Imaginary wars and battles -- Fiction', 'Life on other planets -- Fiction']",English
149,The Time Machine,https://www.gutenberg.org//ebooks/35,"Wells, H. G. (Herbert George)",1866,1946,,,,"['Science fiction', 'Time travel -- Fiction', 'Dystopias -- Fiction']",English
196,The Invisible Man: A Grotesque Romance,https://www.gutenberg.org//ebooks/5230,"Wells, H. G. (Herbert George)",1866,1946,,,,"['Science fiction', 'Psychological fiction', 'Scientists -- Fiction', 'Mentally ill -- Fiction']",English
288,The island of Doctor Moreau,https://www.gutenberg.org//ebooks/159,"Wells, H. G. (Herbert George)",1866,1946,,,,"['Science fiction', 'Shipwreck survival -- Fiction', 'Animal experimentation -- Fiction', 'Islands -- Fiction', 'Science -- Ethics -- Fiction']",English
323,The Red Room,https://www.gutenberg.org//ebooks/23218,"Wells, H. G. (Herbert George)",1866,1946,,,,['Short stories'],English
582,"The Country of the Blind, and Other Stories",https://www.gutenberg.org//ebooks/11870,"Wells, H. G. (Herbert George)",1866,1946,,,,"['Science fiction, English']",English
860,A daughter of strife,https://www.gutenberg.org//ebooks/74636,"Findlater, Jane Helen",1866,1946,,,,['London (England) -- History -- 18th century -- Fiction'],English
984,The Outline of History: Being a Plain History of Life and Mankind,https://www.gutenberg.org//ebooks/45368,"Wells, H. G. (Herbert George)",1866,1946,,,,['World history'],English
152,The Elements of Style,https://www.gutenberg.org//ebooks/37134,"Strunk, William",1869,1946,,,,"['English language -- Rhetoric', 'English language -- Style', 'Report writing']",English
598,"The Junior Classics, Volume 1: Fairy and wonder tales",https://www.gutenberg.org//ebooks/28942,"Neilson, William Allan",1869,1946,,,,"[""Children's literature""]",English
478,Tender Buttons,https://www.gutenberg.org//ebooks/15396,"Stein, Gertrude",1874,1946,,,,['Prose poems'],English
389,The Great God Pan,https://www.gutenberg.org//ebooks/389,"Machen, Arthur",1863,1947,,,,"['Horror tales', 'Paranormal fiction']",English
504,The Scarlet Pimpernel,https://www.gutenberg.org//ebooks/60,"Orczy, Emmuska Orczy, Baroness",1865,1947,,,,"['Historical fiction', 'France -- History -- Revolution, 1789-1799 -- Fiction', 'Adventure stories', 'British -- France -- Fiction', 'Nobility -- Fiction', 'Blakeney, Percy, Sir (Fictitious character) -- Fiction']",English
639,My Ántonia,https://www.gutenberg.org//ebooks/242,"Cather, Willa",1873,1947,,,,"['Nebraska -- Fiction', 'Frontier and pioneer life -- Nebraska -- Fiction', 'Western stories', 'Domestic fiction', 'Friendship -- Fiction', 'Married women -- Fiction', 'Farm life -- Fiction', 'Women pioneers -- Fiction', 'Women immigrants -- Fiction', ""Farmers' spouses -- Fiction"", 'Czech Americans -- Fiction']",English
968,O Pioneers!,https://www.gutenberg.org//ebooks/24,"Cather, Willa",1873,1947,,,,"['Nebraska -- Fiction', 'Historical fiction', 'Frontier and pioneer life -- Nebraska -- Fiction', 'Domestic fiction', 'Siblings -- Fiction', 'Farm life -- Fiction', 'Women pioneers -- Fiction', 'Women farmers -- Fiction', 'Women immigrants -- Fiction', 'Swedish Americans -- Fiction']",English
695,The American Diary of a Japanese Girl,https://www.gutenberg.org//ebooks/63256,"Noguchi, Yoné",1875,1947,,,,"['Japan -- Fiction', 'Japanese -- United States -- Fiction']",English
483,A Course of Pure Mathematics,https://www.gutenberg.org//ebooks/38769,"Hardy, G. H. (Godfrey Harold)",1877,1947,,,,"['Functions', 'Calculus']",English
689,A Yankee doctor in paradise,https://www.gutenberg.org//ebooks/74693,"Lambert, S. M. (Sylvester Maxwell)",1882,1947,,,,"['Oceania -- Description and travel', 'Physicians -- United States -- Biography', 'Lambert, S. M. (Sylvester Maxwell), 1882-1947']",English
760,The Santa Claus Brownies,https://www.gutenberg.org//ebooks/74737,"Phillips, Ethel Calvert",1882,1947,,,,"['Christmas stories', ""Children's stories""]",English
706,"The old house, and other stories",https://www.gutenberg.org//ebooks/74695,"Ortman, Blanche Sellers",1870,1948,,,,"[""Children's stories, American""]",English
86,Plays,https://www.gutenberg.org//ebooks/10623,"Glaspell, Susan",1882,1948,,,,['American drama'],English
584,"Lineage, Life and Labors of José Rizal, Philippine Patriot",https://www.gutenberg.org//ebooks/6867,"Craig, Austin",1872,1949,,,,"['Rizal, José, 1861-1896']",English
133,Pygmalion,https://www.gutenberg.org//ebooks/3825,"Shaw, Bernard",1856,1950,,,,"['Comedies', 'Speech and social status -- Drama', 'London (England) -- Drama', 'Linguistics teachers -- Drama', 'Social classes -- Drama', 'Flower vending -- Drama']",English
239,Arms and the Man,https://www.gutenberg.org//ebooks/3618,"Shaw, Bernard",1856,1950,,,,"['War -- Drama', 'Love -- Drama', 'Man-woman relationships -- Drama', 'Serbo-Bulgarian War, 1885 -- Drama', 'Italians -- Bulgaria -- Drama', 'Soldiers -- Bulgaria -- Drama', 'Bulgaria -- Drama']",English
355,Man and Superman: A Comedy and a Philosophy,https://www.gutenberg.org//ebooks/3328,"Shaw, Bernard",1856,1950,,,,"['Man-woman relationships -- Drama', 'English drama']",English
545,Mrs. Warren's Profession,https://www.gutenberg.org//ebooks/1097,"Shaw, Bernard",1856,1950,,,,"['Working class women -- Great Britain -- Drama', 'Prostitutes -- Great Britain -- Drama', 'Prostitution -- Great Britain -- Drama', 'Great Britain -- Social conditions -- 19th century -- Drama']",English
346,Spoon River Anthology,https://www.gutenberg.org//ebooks/26471,"Masters, Edgar Lee",1868,1950,,,,['American poetry'],English
633,Spoon River Anthology,https://www.gutenberg.org//ebooks/1280,"Masters, Edgar Lee",1868,1950,,,,['American poetry'],English
589,A Princess of Mars,https://www.gutenberg.org//ebooks/62,"Burroughs, Edgar Rice",1875,1950,,,,"['Science fiction', 'Mars (Planet) -- Fiction', 'Princesses -- Fiction', 'Carter, John (Fictitious character) -- Fiction', 'Dejah Thoris (Fictitious character) -- Fiction']",English
665,Tarzan of the Apes,https://www.gutenberg.org//ebooks/78,"Burroughs, Edgar Rice",1875,1950,,,,"['Tarzan (Fictitious character) -- Fiction', 'Africa -- Fiction', 'Fantasy fiction', 'Adventure stories', 'British -- Africa -- Fiction', 'Wild men -- Fiction']",English
405,Half a Man: The Status of the Negro in New York,https://www.gutenberg.org//ebooks/39742,"Ovington, Mary White",1865,1951,,,,['African Americans -- New York (State) -- New York'],English
393,The Wendigo,https://www.gutenberg.org//ebooks/10897,"Blackwood, Algernon",1869,1951,,,,['Horror tales'],English
921,The Willows,https://www.gutenberg.org//ebooks/11438,"Blackwood, Algernon",1869,1951,,,,['Horror tales'],English
374,Democracy and Education: An Introduction to the Philosophy of Education,https://www.gutenberg.org//ebooks/852,"Dewey, John",1859,1952,,,,"['Education -- Social aspects', 'Education -- Philosophy']",English
400,How We Think,https://www.gutenberg.org//ebooks/37423,"Dewey, John",1859,1952,,,,"['Educational psychology', 'Thought and thinking']",English
799,"English Literature",https://www.gutenberg.org//ebooks/10609,"Long, William J. (William Joseph)",1867,1952,,,,['English literature -- History and criticism'],English
1000,United States Steel: A Corporation with a Soul,https://www.gutenberg.org//ebooks/48465,"Cotter, Arundel",1883,1952,,,,['United States Steel Corporation'],English
732,Autobiography of a Yogi,https://www.gutenberg.org//ebooks/7452,"Yogananda, Paramahansa",1893,1952,,,,"['Yogananda, Paramahansa, 1893-1952', 'Yogis -- India -- Biography']",English
571,Fifteen Thousand Useful Phrases,https://www.gutenberg.org//ebooks/26225,"Kleiser, Grenville",1868,1953,,,,['English language -- Terms and phrases'],English
915,Myths and Legends of China,https://www.gutenberg.org//ebooks/15250,"Werner, E. T. C. (Edward Theodore Chalmers)",1864,1954,,,,"['Tales -- China', 'Mythology, Chinese', 'Legends -- China']",English
258,A History of the Philippines,https://www.gutenberg.org//ebooks/38269,"Barrows, David P.",1873,1954,,,,['Philippines -- History'],English
501,"Diccionario Ingles-Español-Tagalog (Spanish) (Tagalog)",https://www.gutenberg.org//ebooks/20738,"Calderón, Sofronio G.",1878,1954,,,,"['English language -- Dictionaries -- Spanish', 'English language -- Dictionaries -- Tagalog', 'English language -- Dictionaries -- Polyglot']",Tagalog
569,Der Zauberberg. Erster Band (German),https://www.gutenberg.org//ebooks/65661,"Mann, Thomas",1875,1955,,,,"['Germany -- Fiction', 'Sanatoriums -- Fiction']",German
852,Relativity : the Special and General Theory,https://www.gutenberg.org//ebooks/5001,"Einstein, Albert",1879,1955,"Lawson, Robert W. (Robert William)",,,['Relativity (Physics)'],English
645,The Art of Public Speaking,https://www.gutenberg.org//ebooks/16317,"Carnegie, Dale",1888,1955,,,,['Public speaking'],English
